christian 	 6396
british 	 19745
british exploration 	 2
exploration 	 945
geologist 	 191
author 	 5684
involved 	 7789
discovery 	 1866
southern 	 10022
appointed 	 10708
retired 	 5028
chairman 	 5628
boards 	 1083
general 	 22288
managing 	 1640
director 	 14673
iranian 	 1162
oil 	 4739
operating 	 3510
companies 	 6071
services 	 12823
industry 	 7288
devoted 	 1217
retirement 	 2777
archaeology 	 434
astronomy 	 462
archaeoastronomy 	 2
history 	 31381
religion 	 2675
early 	 31091
early life 	 1146066
life 	 29516
education 	 17724
career 	 29573
born 	 36725
educated 	 2951
boys 	 3202
school 	 55969
university 	 45849
read 	 3077
natural 	 6013
natural sciences 	 1072
sciences 	 3118
graduating 	 1786
joined 	 13113
company 	 28333
petroleum 	 667
known 	 34097
geological 	 563
geological activities 	 2
activities 	 6504
senior 	 8667
senior geologist 	 4
winter 	 4104
assisted 	 1326
three 	 40976
years 	 46214
due 	 18344
home 	 21196
leave 	 4142
second 	 37530
second world 	 6584
world 	 41434
war 	 34259
royal 	 11465
engineers 	 1717
major 	 17702
service 	 20933
returned 	 12366
work 	 29681
geology 	 525
other 	 61440
other countries 	 20271
countries 	 7433
later 	 44331
included 	 16011
survey 	 2276
rocky 	 924
rocky mountains 	 98
mountains 	 2984
ranges 	 1038
married 	 11819
joy 	 602
archaeological 	 944
archaeological theories 	 1
theories 	 941
writing 	 7106
ancient 	 4042
ancient civilisations 	 2
civilisations 	 10
taught 	 3456
published 	 16944
books 	 8471
subject 	 4203
several 	 27413
other papers 	 75
papers 	 1885
heath 	 857
astronomical 	 363
astronomical complex 	 2
complex 	 5035
surveying 	 203
calls 	 2369
line 	 17400
claim 	 2817
much 	 13388
much acceptance 	 2
acceptance 	 626
megalithic 	 25
evidence 	 4428
dated 	 1640
book 	 16104
view 	 4157
stone 	 5330
circles 	 564
ridge-top 	 1
ridge-top cairns 	 1
cairns 	 178
built 	 19114
observational 	 66
group 	 28542
itinerant 	 87
itinerant sages 	 1
sages 	 60
links 	 2122
review 	 6262
journal 	 5035
describes 	 2064
erroneous 	 91
erroneous statements 	 3
statements 	 897
unsubstantiated 	 34
unsubstantiated arguments. 	 1
arguments. 	 5
reviewer 	 628
statistical 	 929
statistical methods 	 16
methods 	 2679
coupled 	 465
dubious 	 132
dubious interpretation 	 1
interpretation 	 1110
damaged 	 2088
only 	 44882
few 	 11447
meters 	 1788
high 	 26651
whereas 	 1364
similar 	 8654
similar sites 	 12
sites 	 3200
few cairns 	 1
prehistoric 	 301
any 	 18649
value 	 3912
prehistoric archaeoastronomy 	 1
further 	 10869
suggestion 	 456
introduced 	 5962
